Rank;Movie Title;Studio;Total Gross;Theaters;1st Week Gross;Open;Close
1;Underworld: Blood Wars;SGem;10273151;3070;9688751;06.01.2017;-
2;One Piece Film: Gold;FUN;190859;372;0;10.01.2017;-
3;Railroad Tigers;WGUSA;116211;43;116211;06.01.2017;-
4;The Marseille Trilogy;Jan.;10654;1;7720;06.01.2017;-
5;German Concentration Camps Factual Survey;FRun;3000;1;3000;06.01.2017;-
6;Accidental Courtesy: Daryl Davis, Race & America;FRun;1452;1;1452;06.01.2017;-
7;A Different American Dream;FRun;848;0;848;06.01.2017;-
8;The Ardennes;FM;840;1;840;06.01.2017;-
