Rank;Movie Title;Studio;Total Gross;Theaters;1st Week Gross;Open;Close
1;Rogue One: A Star Wars Story;BV;483392763;4157;155081681;16.12.16;-
2;Sing;Uni.;218317405;4029;35258145;21.12.16;-
3;Passengers (2016);Sony;83672185;3478;14869736;21.12.16;-
4;La La Land;LG/S;57749353;1848;881104;09.12.16;-
5;Office Christmas Party;Par.;54411026;3210;16890204;09.12.16;-
6;Why Him?;Fox;51297847;3008;11002986;23.12.16;-
7;Assassin's Creed;Fox;51203159;2996;10278225;21.12.16;-
8;Fences;Par.;42596844;2368;129462;16.12.16;-
9;Hidden Figures;Fox;32404168;3286;515499;25.12.16;-
10;Collateral Beauty;WB (NL);30224512;3028;7102085;16.12.16;-
11;Dangal;UTV;11151900;338;3248481;21.12.16;-
12;Jackie;FoxS;9625991;359;278715;02.12.16;-
13;Incarnate;HTR;4799774;1737;2534884;02.12.16;-
14;A Monster Calls;Focus;2703894;1523;30909;23.12.16;-
15;Silence (2016);Par.;1031602;747;130880;23.12.16;-
